COD_UF;COD_MUNICIPIO;COD_DISTRITO;COD_SUBDISTRITO;SITUACAO;NOM_TIPO_SEGLOGR;NOM_TITULO_SEGLOGR;NOM_SEGLOGR;NUM_ENDERECO;DSC_MODIFICADOR;NOM_COMP_ELEM1;VAL_COMP_ELEM1;NOM_COMP_ELEM2;VAL_COMP_ELEM2;NOM_COMP_ELEM3;VAL_COMP_ELEM3;NOM_COMP_ELEM4;VAL_COMP_ELEM4;NOM_COMP_ELEM5;VAL_COMP_ELEM5;LATITUDE;LONGITUDE;ALTITUDE;DSC_LOCALIDADE;COD_ESPECIE;CEP
31;63102;05;00;2;GRANJA;;OURO BRANCO;;SN;;;;;;;;;;;-19.71369333333333;-44.61063330555556;807.0;CONQUISTA;3;35694000
31;63102;05;00;2;PROPRIEDADE;;DE AMILCOM DO CARMO PINTO;;SN;;;;;;;;;;;-19.70572333333333;-44.57907830555556;781.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;CAIANA;;SN;;;;;;;;;;;-19.705321666666666;-44.61364663888889;786.0;CAIANA;3;35694000
31;63102;05;00;2;SITIO;;CAIANA;;SN;;;;;;;;;;;-19.705441666666665;-44.614359972222225;782.0;CAIANA;3;35694000
31;63102;05;00;2;SITIO;;DO CHIQUINHO DA ROSA;;SN;;;;;;;;;;;-19.70580163888889;-44.58772830555556;752.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;DO ZE DO LANDI;;SN;;;;;;;;;;;-19.70638;-44.57521330555556;772.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;;NOSSA SENHORA DO ROSARIO;;SN;;;;;;;;;;;-19.695246666666666;-44.63359333333333;779.0;VILACA;3;35694000
31;63102;05;00;2;SITIO;;PEDRA SABAO DOS VILACA;;SN;;;;;;;;;;;-19.700039999999998;-44.61380333333334;810.0;CAIANA;3;35694000
31;63102;05;00;2;SITIO;;VISTA ALEGRE;;SN;;;;;;;;;;;-19.690461666666668;-44.59954833333334;753.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;SITIO;SANTA;ROSA;;SN;;;;;;;;;;;-19.695261666666667;-44.63357333333333;778.0;VILACA;3;35694000
31;63102;05;00;2;SITIO;SAO;VICENTE;;SN;;;;;;;;;;;-19.751316666666668;-44.59686666666667;;LAGOA PRETA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;118.0;KM;;;;;;;;;;;-19.68976497222222;-44.600118333333334;754.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;116.0;KM;;;;;;;;;;;-19.70114;-44.576415000000004;796.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;116.0;KM;;;;;;;;;;;-19.703044972222223;-44.57624166666667;781.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;116.0;KM;;;;;;;;;;;-19.702685;-44.58155;754.0;SAO JOSE DA VARGINHA;3;35694000
31;63102;05;00;2;RODOVIA;;MG 431;118.0;KM;;;;;;;;;;;-19.69132;-44.59815830555556;750.0;SAO JOSE DA VARGINHA;3;35694000
